,close,SMA,MACD,SIGNAL
0,1.567,1.5756714285714288,-0.013280908401062996,-0.012706058399406158
1,1.5517,1.572371428571429,-0.01433675846363025,-0.013032198412250976
2,1.5472,1.568914285714286,-0.01535958391477421,-0.013497675512755623
3,1.5479,1.5653928571428573,-0.01593006443729683,-0.013984153297663865
4,1.5421,1.5620785714285716,-0.01665816097844952,-0.014518954833820995
5,1.5404,1.559557142857143,-0.017174382929740606,-0.015050040453004917
6,1.5262,1.5568714285714287,-0.018515874396652476,-0.01574320724173443
7,1.5232,1.5543857142857145,-0.01959520959840222,-0.016513607713067986
8,1.4988,1.5491857142857144,-0.022163974105774198,-0.017643680991609227
9,1.497,1.5447285714285715,-0.02406754773285158,-0.0189284543398577
10,1.5095,1.5403928571428571,-0.024287526526341363,-0.020000268777154433
11,1.5029,1.5355928571428572,-0.02470958938133938,-0.020942132897991423
12,1.5133,1.5318500000000002,-0.02392904501552473,-0.021539515321498084
13,1.5063,1.5266785714285713,-0.02360321629569273,-0.02195225551633701
14,1.4994,1.5218500000000001,-0.023629382212682293,-0.02228768085560607
15,1.4976,1.5179857142857143,-0.02352419160960939,-0.022534983006406734
16,1.5061,1.51505,-0.022495632685724853,-0.022527112942270357
17,1.5203,1.5130785714285715,-0.020300657657773113,-0.02208182188537091
18,1.505,1.5104285714285712,-0.019570114172536845,-0.021579480342804096
19,1.5248,1.5093142857142854,-0.017195242619459705,-0.020702632798135216
20,1.5314,1.509685714285714,-0.014612135361413925,-0.019484533310790957
21,1.5244,1.5097714285714283,-0.012980217875920408,-0.018183670223816846
22,1.5013,1.50995,-0.013396462377303964,-0.01722622865451427
23,1.5107,1.5109285714285714,-0.012820056076367159,-0.016344994138884846
24,1.5034,1.510492857142857,-0.012804694375332826,-0.015636934186174442
25,1.4878,1.5094142857142856,-0.013891180856000274,-0.015287783520139608
26,1.4818,1.5071642857142855,-0.015062745125970167,-0.01524277584130572
27,1.49,1.5059999999999998,-0.015154851091035315,-0.015225190891251638
28,1.4977,1.5058785714285712,-0.014440064014194398,-0.01506816551584019
29,1.507,1.50655,-0.012973606173202867,-0.014649253647312725
30,1.5177,1.5073785714285715,-0.010823263349939438,-0.013884055587838067
31,1.5274,1.5078857142857145,-0.008241390615474353,-0.012755522593365324
32,1.5199,1.5089500000000002,-0.006722927468922224,-0.011549003568476704
33,1.5287,1.5092285714285718,-0.004754639505453406,-0.010190130755872044
34,1.5262,1.5088571428571431,-0.0033577798246109403,-0.008823660569619824
35,1.5235,1.5087928571428573,-0.0024404934099953035,-0.00754702713769492
36,1.5279,1.510692857142857,-0.001343012675923072,-0.006306224245340551
37,1.5366,1.5125428571428572,0.00022615898383038235,-0.004999747599506364
38,1.5357,1.5148499999999998,0.001381194797211771,-0.003723559120162737
39,1.5377,1.5184142857142857,0.0024299414339385983,-0.0024928590093424696
40,1.5465,1.523035714285714,0.003925911688537287,-0.0012091048697665183
41,1.5469,1.5271000000000001,0.005085137253381777,4.974355486314099e-05
42,1.536,1.5298357142857146,0.005065896459418129,0.0010529741357741386
43,1.5336,1.5317357142857144,0.004801637758057309,0.0018027068602307727
44,1.5379,1.5331785714285715,0.004882897889377791,0.0024187450660601763
45,1.5408,1.5341357142857144,0.005122256705775596,0.00295944739400326
46,1.5387,1.5354785714285715,0.005083893878671031,0.003384336690936814
47,1.5376,1.5361142857142858,0.004908152132322208,0.003689099779213893
48,1.5454,1.5374857142857146,0.005336751594501088,0.004018630142271332
49,1.5251,1.5376,0.0039923579925671415,0.0040133757123304945
50,1.5202,1.5370500000000002,0.002502678013928783,0.003711236172650152
51,1.5331,1.5368000000000002,0.002336089107429329,0.0034362067596059873
52,1.5272,1.5361928571428576,0.00170829336464573,0.003090624080613936
53,1.523,1.5351428571428574,0.0008619201375115182,0.002644883291993452
54,1.5134,1.5327785714285718,-0.0005768272072519398,0.002000541192144374
55,1.5104,1.5301714285714287,-0.0019367936203029679,0.0012130742296549055
56,1.4767,1.5259357142857144,-0.005668541737419153,-0.00016324896375990625
57,1.4801,1.522114285714286,-0.008256452179747686,-0.0017818896069574624
58,1.4854,1.5183642857142858,-0.00976713469519308,-0.0033789386246045865
59,1.4925,1.5149142857142857,-0.010273029717890347,-0.004757756843261738
60,1.4825,1.5109,-0.011350035451138663,-0.006076212564837123
61,1.4595,1.5053214285714283,-0.01389925606321496,-0.007640821264512691
62,1.453,1.4987214285714283,-0.016256631117540055,-0.009363983235118164
63,1.4488,1.4932714285714284,-0.018253359366739996,-0.011141858461442531
64,1.4282,1.4866999999999997,-0.02125303694811609,-0.013164094158777243
65,1.4454,1.4804357142857139,-0.021988932068019107,-0.014929061740625615
66,1.4349,1.4738428571428568,-0.023152508790814652,-0.016573751150663424
67,1.4466,1.468385714285714,-0.022866963387981443,-0.01783239359812703
68,1.4404,1.4631714285714281,-0.022877240199004056,-0.018841362918302434
69,1.4431,1.4583642857142853,-0.02240919792617002,-0.019554929919875952
70,1.4373,1.4555499999999995,-0.022249800727497382,-0.020093904081400236
71,1.4565,1.4538642857142852,-0.020339733968110174,-0.020143070058742225
72,1.4463,1.4510714285714281,-0.019425126290891104,-0.019999481305172002
73,1.4535,1.448285714285714,-0.017912825389470033,-0.019582150122031607
74,1.4641,1.4469714285714281,-0.015678255448020595,-0.018801371187229403
75,1.4652,1.447378571428571,-0.013661105146907548,-0.01777331797916503
76,1.4618,1.4480071428571424,-0.012196259695643308,-0.016657906322460687
77,1.445,1.4477357142857141,-0.01224977098373392,-0.015776279254715333
